,Vel_0,Vel_1,Vel_2,Vel_3,Vel_4,Vel_5,Vel_6,Vel_7,Vel_8,Vel_9,Vel_10,Vel_11,Vel_12,Vel_13,Vel_14,Vel_15,Vel_16,Vel_17,Vel_18,Vel_19,Vel_20,Vel_21,Vel_22,Vel_23,Vel_24,Mean_0,Mean_5,Mean_10,Mean_15,Mean_20,Mean_25
0,19.0,46.0,55.0,53.0,55.0,56.0,29.0,22.0,19.0,8.0,0.0,-5.0,-13.0,-26.0,-24.0,-29.0,-40.0,-45.0,-36.0,-35.0,-27.0,-17.0,-14.0,-17.0,-25.0,234.6,280.2,307.0,293.4,256.4,236.4
1,5.0,20.0,22.0,30.0,37.0,36.0,27.0,37.0,32.0,26.0,16.0,0.0,-23.0,-42.0,-51.0,-55.0,-55.0,-53.0,-46.0,-51.0,-52.0,-52.0,-51.0,-50.0,-45.0,138.6,161.4,193.0,173.0,121.0,71.0
2,-7.0,-6.0,-4.0,-2.0,1.0,4.0,12.0,32.0,48.0,63.0,76.0,82.0,78.0,74.0,59.0,46.0,32.0,7.0,-6.0,-2.0,0.0,6.0,16.0,18.0,14.0,82.4,78.8,110.6,184.4,199.8,210.6
3,-12.0,-12.0,-9.0,-14.0,-18.0,-17.0,-17.0,-18.0,-17.0,-7.0,5.0,25.0,40.0,51.0,53.0,53.0,41.0,33.0,30.0,30.0,30.0,32.0,34.0,25.0,20.0,150.6,137.6,122.4,157.2,194.6,222.8
4,5.0,5.0,6.0,12.0,21.0,31.0,34.0,39.0,38.0,36.0,29.0,24.0,16.0,11.0,7.0,6.0,5.0,8.0,9.0,7.0,6.0,6.0,6.0,11.0,18.0,99.0,108.8,144.4,161.8,168.8,178.2
5,-14.0,-25.0,-29.0,-29.0,-35.0,-41.0,-23.0,-10.0,12.0,46.0,51.0,42.0,32.0,19.0,6.0,7.0,5.0,2.0,-8.0,-28.0,-41.0,-46.0,-47.0,-46.0,-41.0,183.4,157.0,153.8,183.8,179.4,135.2
6,5.0,8.0,8.0,8.0,8.0,5.0,14.0,33.0,47.0,64.0,77.0,81.0,76.0,67.0,58.0,49.0,42.0,34.0,33.0,31.0,26.0,22.0,19.0,12.0,4.0,91.0,98.4,131.0,202.8,240.6,257.2
7,24.0,28.0,26.0,15.0,6.0,0.0,-8.0,-12.0,-5.0,5.0,28.0,39.0,50.0,58.0,61.0,49.0,51.0,55.0,49.0,45.0,44.0,43.0,34.0,42.0,41.0,137.6,157.4,153.4,200.6,250.4,291.2
8,-1.0,-6.0,-5.0,-3.0,6.0,30.0,43.0,49.0,49.0,37.0,10.0,-5.0,-13.0,-15.0,-13.0,-13.0,-10.0,-7.0,-5.0,1.0,8.0,11.0,13.0,13.0,10.0,96.6,94.8,136.4,129.2,122.4,133.4
9,-1.0,1.0,1.0,1.0,-1.0,-5.0,-3.0,7.0,25.0,44.0,56.0,64.0,63.0,49.0,38.0,31.0,14.0,7.0,12.0,4.0,1.0,4.0,-4.0,-15.0,-10.0,119.2,119.4,133.0,187.0,200.6,195.8
